time,"V(N012,N005)","V(N013,N007)"
2.50E-02,-0.0702759,-0.0700506
2.50E-02,-0.0702033,-0.07003725
2.50E-02,-0.06994855,-0.06998956
2.50E-02,-0.0681206,-0.0696789
2.50E-02,-0.06272805,-0.0687021
2.50E-02,-0.0539028,-0.06705713
2.50E-02,-0.05216199,-0.06673253
2.50E-02,-0.04698744,-0.065768
2.50E-02,-0.03518783,-0.06356847
2.50E-02,-0.02056497,-0.06084263
2.50E-02,-0.008065581,-0.05851269
2.50E-02,-0.003808618,-0.05767059
2.50E-02,-0.003820062,-0.05767268
2.50E-02,-0.003843069,-0.05767685
2.51E-02,-0.008575678,-0.0585492
2.51E-02,-0.01269007,-0.05931619
2.51E-02,-0.01603115,-0.059939
2.51E-02,-0.01870489,-0.06043737
2.51E-02,-0.02079296,-0.06082663
2.51E-02,-0.02257717,-0.06115921
2.51E-02,-0.02387238,-0.06140067
2.51E-02,-0.02471614,-0.06155794
2.51E-02,-0.02492464,-0.0615968
2.51E-02,-0.02533865,-0.06167399
2.51E-02,-0.02554429,-0.06171231
2.51E-02,-0.02595258,-0.06178843
2.51E-02,-0.02675796,-0.06193856
2.51E-02,-0.02754843,-0.06208593
2.51E-02,-0.02774382,-0.06212234
2.51E-02,-0.02813184,-0.06219466
2.51E-02,-0.02889705,-0.06233732
2.51E-02,-0.03001857,-0.06254638
2.52E-02,-0.03146613,-0.06281622
2.52E-02,-0.03251708,-0.06301209
2.52E-02,-0.03320158,-0.06313971
2.52E-02,-0.03353918,-0.06320262
2.52E-02,-0.03387344,-0.06326495
2.52E-02,-0.0345329,-0.06338789
2.52E-02,-0.03549957,-0.06356806
2.52E-02,-0.0367471,-0.0638006
2.52E-02,-0.03836453,-0.06410682
2.52E-02,-0.04013181,-0.06443158
2.52E-02,-0.04212165,-0.0648025
2.52E-02,-0.04433334,-0.06521481
2.53E-02,-0.04669046,-0.06565422
2.53E-02,-0.04911721,-0.06610662
2.53E-02,-0.05162668,-0.06657439
2.53E-02,-0.05397654,-0.06701243
2.54E-02,-0.05602074,-0.06739354
2.54E-02,-0.05779898,-0.067725
2.54E-02,-0.05934584,-0.06801337
2.55E-02,-0.06069136,-0.06826419
2.55E-02,-0.06186163,-0.06848234
2.55E-02,-0.06288004,-0.06867212
2.55E-02,-0.06336761,-0.06876308
2.56E-02,-0.06418991,-0.06891644
2.56E-02,-0.06490505,-0.06904972
2.56E-02,-0.0655272,-0.06916583
2.57E-02,-0.06606841,-0.06926656
2.57E-02,-0.06653917,-0.06935441
2.57E-02,-0.06694865,-0.06943083
2.58E-02,-0.06730497,-0.06949723
2.58E-02,-0.06761479,-0.06955504
2.58E-02,-0.06788445,-0.06960523
2.58E-02,-0.06811893,-0.06964898
2.59E-02,-0.0683229,-0.06968701
2.59E-02,-0.06850028,-0.06972015
2.59E-02,-0.06865478,-0.069749
2.60E-02,-0.06878901,-0.06977403
2.60E-02,-0.06890571,-0.06979573
2.60E-02,-0.06900728,-0.0698148
2.61E-02,-0.06909573,-0.06983113
2.61E-02,-0.06917262,-0.06984556
2.61E-02,-0.0692395,-0.06985807
2.61E-02,-0.06929767,-0.06986892
2.62E-02,-0.06934834,-0.06987846
2.62E-02,-0.06939232,-0.06988668
2.62E-02,-0.06943059,-0.06989372
2.63E-02,-0.06946397,-0.06990004
2.63E-02,-0.06949294,-0.0699054
2.63E-02,-0.06951821,-0.06991017
2.64E-02,-0.06954014,-0.06991434
2.64E-02,-0.06955922,-0.06991792
2.64E-02,-0.06957626,-0.06992102
2.64E-02,-0.06959116,-0.06992388
2.65E-02,-0.06960404,-0.06992626
2.65E-02,-0.06961513,-0.06992829
2.65E-02,-0.06962478,-0.0699302
2.66E-02,-0.06963253,-0.06993163
2.66E-02,-0.0696398,-0.06993306
2.66E-02,-0.06964636,-0.06993425
2.67E-02,-0.06965208,-0.0699352
2.67E-02,-0.06965685,-0.06993628
2.67E-02,-0.06966114,-0.06993711
2.68E-02,-0.06966484,-0.06993771
2.68E-02,-0.06966794,-0.06993842
2.68E-02,-0.06967068,-0.0699389
2.69E-02,-0.0696733,-0.06993937
2.69E-02,-0.06967533,-0.06993985
2.69E-02,-0.06967711,-0.06994009
2.70E-02,-0.06967866,-0.06994045
2.70E-02,-0.06968009,-0.06994069
2.71E-02,-0.06968129,-0.06994092
2.71E-02,-0.06968236,-0.06994116
2.71E-02,-0.06968331,-0.06994128
2.72E-02,-0.06968403,-0.0699414
2.72E-02,-0.06968462,-0.06994164
2.73E-02,-0.06968522,-0.06994176
2.74E-02,-0.06968582,-0.06994188
2.74E-02,-0.06968617,-0.069942
2.75E-02,-0.06968653,-0.06994212
2.76E-02,-0.06968677,-0.06994212
2.76E-02,-0.06968677,-0.06994224
2.77E-02,-0.06968713,-0.06994224
2.79E-02,-0.06968725,-0.06994236
2.81E-02,-0.06968749,-0.06994247
2.86E-02,-0.0696876,-0.06994259
2.96E-02,-0.06968784,-0.06994283
3.07E-02,-0.06968796,-0.06994295
3.17E-02,-0.06968808,-0.06994307
3.27E-02,-0.06968808,-0.06994307
3.37E-02,-0.0696882,-0.06994307
3.48E-02,-0.0696882,-0.06994319
3.58E-02,-0.0696882,-0.06994319
3.68E-02,-0.0696882,-0.06994319
3.78E-02,-0.0696882,-0.06994319
3.89E-02,-0.06968832,-0.06994319
3.99E-02,-0.06968832,-0.06994319
4.09E-02,-0.06968832,-0.06994319
4.19E-02,-0.06968832,-0.06994319
4.30E-02,-0.06968832,-0.06994319
4.40E-02,-0.06968832,-0.06994319
4.50E-02,-0.06968832,-0.06994319
4.50E-02,-0.06969726,-0.06994486
4.50E-02,-0.0697155,-0.06994832
4.50E-02,-0.06977916,-0.06996012
4.50E-02,-0.0700047,-0.07000124
4.50E-02,-0.07070076,-0.070117
4.50E-02,-0.07339823,-0.07060564
4.50E-02,-0.07781273,-0.07142842
4.50E-02,-0.08382481,-0.07254899
4.50E-02,-0.08717424,-0.0731734
4.50E-02,-0.08882591,-0.07348132
4.50E-02,-0.09369087,-0.07438827
4.50E-02,-0.1015065,-0.07584506
4.50E-02,-0.1029401,-0.07613659
4.50E-02,-0.1029248,-0.07613385
4.50E-02,-0.1028943,-0.07612848
4.51E-02,-0.09872083,-0.07535511
4.51E-02,-0.09510011,-0.07468015
4.51E-02,-0.09492564,-0.07464385
4.51E-02,-0.09183417,-0.07407135
4.52E-02,-0.08917053,-0.07357481
4.52E-02,-0.08683187,-0.07313886
4.52E-02,-0.08477852,-0.07275611
4.52E-02,-0.08303611,-0.07243133
4.53E-02,-0.08149915,-0.07214478
4.53E-02,-0.08019066,-0.07190087
4.53E-02,-0.07903108,-0.07168469
4.53E-02,-0.07804073,-0.07150009
4.54E-02,-0.077159,-0.07133572
4.54E-02,-0.07640366,-0.07119489
4.54E-02,-0.07575469,-0.07107392
4.54E-02,-0.0751956,-0.07096969
4.55E-02,-0.07471267,-0.07087968
4.55E-02,-0.07429454,-0.07080172
4.55E-02,-0.07393175,-0.07073409
4.55E-02,-0.07361636,-0.07067529
4.55E-02,-0.07334178,-0.07062409
4.55E-02,-0.07311686,-0.07058217
4.56E-02,-0.07292064,-0.07054558
4.56E-02,-0.0727623,-0.07051607
4.56E-02,-0.07263694,-0.07049269
4.56E-02,-0.07254076,-0.07047477
4.56E-02,-0.07245948,-0.07045961
4.56E-02,-0.0723588,-0.07044084
4.56E-02,-0.07224132,-0.07041894
4.56E-02,-0.07210023,-0.07039263
4.56E-02,-0.07194983,-0.07036459
4.57E-02,-0.07178517,-0.07033389
4.57E-02,-0.07161181,-0.07030156
4.57E-02,-0.07142852,-0.07026739
4.57E-02,-0.07124279,-0.07023275
4.58E-02,-0.07108123,-0.07020263
4.58E-02,-0.07094069,-0.07017642
4.58E-02,-0.07081844,-0.07015362
4.59E-02,-0.0707121,-0.07013379
4.59E-02,-0.07061958,-0.07011653
4.59E-02,-0.07053911,-0.07010152
4.60E-02,-0.07046911,-0.07008846
4.60E-02,-0.07040821,-0.0700771
4.60E-02,-0.07036695,-0.0700694
4.60E-02,-0.07031934,-0.07006052
4.61E-02,-0.07027793,-0.07005279
4.61E-02,-0.07024191,-0.07004606
4.61E-02,-0.07021057,-0.07004022
4.62E-02,-0.07018331,-0.07003513
4.62E-02,-0.0701596,-0.07003069
4.62E-02,-0.07013896,-0.07002684
4.62E-02,-0.07012046,-0.07002338
4.63E-02,-0.07010443,-0.07002039
4.63E-02,-0.07009056,-0.07001779
4.63E-02,-0.07007855,-0.07001554
4.64E-02,-0.07006814,-0.07001359
4.64E-02,-0.07005914,-0.0700119
4.64E-02,-0.07005134,-0.07001044
4.65E-02,-0.07004437,-0.07000914
4.65E-02,-0.07003838,-0.07000801
4.65E-02,-0.0700332,-0.07000704
4.66E-02,-0.07002875,-0.0700062
4.66E-02,-0.0700248,-0.07000545
4.66E-02,-0.0700214,-0.07000481
4.67E-02,-0.07001841,-0.07000425
4.67E-02,-0.07001585,-0.07000376
4.67E-02,-0.0700136,-0.07000333
4.68E-02,-0.07001165,-0.07000296
4.68E-02,-0.07000995,-0.07000263
4.68E-02,-0.07000848,-0.07000235
4.69E-02,-0.07000722,-0.07000211
4.69E-02,-0.07000611,-0.0700019
4.70E-02,-0.07000516,-0.07000171
4.70E-02,-0.07000432,-0.07000154
4.70E-02,-0.07000402,-0.07000148
4.71E-02,-0.07000335,-0.07000135
4.71E-02,-0.07000278,-0.07000122
4.72E-02,-0.07000229,-0.07000112
4.73E-02,-0.07000188,-0.07000103
4.73E-02,-0.07000154,-0.07000095
4.74E-02,-0.07000126,-0.07000088
4.76E-02,-0.07000104,-0.07000082
4.77E-02,-0.07000086,-0.07000076
4.80E-02,-0.07000072,-0.0700007
4.81E-02,-0.07000069,-0.07000068
4.91E-02,-0.07000052,-0.07000054
5.00E-02,-0.07000044,-0.07000045
5.00E-02,-0.07000044,-0.07000045
