time,"V(N012,N005)","V(N013,N007)"
2.56E-02,-0.06319594,-0.06624794
2.56E-02,-0.06324911,-0.06627727
2.56E-02,-0.06336188,-0.06633937
2.57E-02,-0.06353068,-0.06643271
2.57E-02,-0.06375837,-0.06655824
2.57E-02,-0.0640378,-0.06671238
2.58E-02,-0.06436777,-0.06689405
2.58E-02,-0.06474304,-0.06710112
2.59E-02,-0.06515181,-0.06732643
2.60E-02,-0.06558597,-0.06756592
2.61E-02,-0.06604028,-0.0678165
2.62E-02,-0.06650281,-0.06807148
2.63E-02,-0.06693113,-0.06830776
2.65E-02,-0.0673033,-0.06851292
2.66E-02,-0.06760907,-0.06868148
2.67E-02,-0.06789231,-0.06883776
2.68E-02,-0.06813824,-0.0689733
2.69E-02,-0.06835198,-0.06909132
2.71E-02,-0.06853771,-0.06919372
2.72E-02,-0.06869912,-0.06928277
2.73E-02,-0.06883919,-0.06936002
2.74E-02,-0.06896114,-0.06942725
2.75E-02,-0.069067,-0.06948566
2.76E-02,-0.06911111,-0.06950998
2.77E-02,-0.06919789,-0.06955791
2.78E-02,-0.06927335,-0.06959951
2.80E-02,-0.06933868,-0.06963563
2.81E-02,-0.06939542,-0.06966686
2.82E-02,-0.06944466,-0.06969404
2.83E-02,-0.06948745,-0.06971765
2.84E-02,-0.06952453,-0.06973815
2.86E-02,-0.06955671,-0.06975591
2.86E-02,-0.06956816,-0.06976223
2.87E-02,-0.06959462,-0.06977677
2.89E-02,-0.06961763,-0.06978965
2.90E-02,-0.06963766,-0.06980062
2.91E-02,-0.06965506,-0.06981015
2.92E-02,-0.0696702,-0.0698185
2.94E-02,-0.06968331,-0.06982589
2.95E-02,-0.06969464,-0.06983209
2.96E-02,-0.06970453,-0.06983757
2.96E-02,-0.06970727,-0.069839
2.98E-02,-0.0697155,-0.06984353
2.99E-02,-0.06972265,-0.06984758
3.00E-02,-0.06972885,-0.06985092
3.01E-02,-0.06973422,-0.06985402
3.03E-02,-0.06973898,-0.06985664
3.04E-02,-0.06974304,-0.06985879
3.05E-02,-0.06974661,-0.06986082
3.07E-02,-0.06974959,-0.06986248
3.08E-02,-0.06975234,-0.06986392
3.09E-02,-0.06975472,-0.06986523
3.11E-02,-0.06975663,-0.0698663
3.12E-02,-0.06975842,-0.06986737
3.14E-02,-0.06975985,-0.06986821
3.15E-02,-0.06976128,-0.06986892
3.17E-02,-0.06976235,-0.06986964
3.17E-02,-0.06976259,-0.06986964
3.19E-02,-0.06976354,-0.06987023
3.20E-02,-0.06976438,-0.06987071
3.22E-02,-0.06976497,-0.06987107
3.24E-02,-0.06976569,-0.06987143
3.26E-02,-0.06976616,-0.06987166
3.27E-02,-0.0697664,-0.0698719
3.29E-02,-0.069767,-0.06987214
3.32E-02,-0.06976724,-0.06987238
3.35E-02,-0.06976748,-0.0698725
3.37E-02,-0.06976771,-0.06987262
3.41E-02,-0.06976795,-0.06987274
3.46E-02,-0.06976807,-0.06987286
3.48E-02,-0.06976807,-0.06987286
3.55E-02,-0.06976819,-0.06987286
3.58E-02,-0.06976819,-0.06987286
3.68E-02,-0.06976819,-0.06987286
3.78E-02,-0.06976831,-0.06987286
3.89E-02,-0.06976831,-0.06987286
3.99E-02,-0.06976831,-0.06987286
4.09E-02,-0.06976819,-0.06987286
4.19E-02,-0.06976831,-0.06987286
4.30E-02,-0.06976831,-0.06987286
4.40E-02,-0.06976819,-0.06987286
4.50E-02,-0.06976831,-0.06987286
4.50E-02,-0.06978011,-0.06987941
4.50E-02,-0.06978524,-0.06988227
4.50E-02,-0.07013369,-0.07007051
4.50E-02,-0.07148057,-0.07081312
4.50E-02,-0.07314724,-0.0717321
4.50E-02,-0.07380871,-0.07209679
4.50E-02,-0.07639956,-0.0735291
4.51E-02,-0.07627046,-0.07345809
4.51E-02,-0.07596862,-0.07329148
4.52E-02,-0.0751825,-0.0728582
4.53E-02,-0.07450271,-0.0724834
4.55E-02,-0.07391214,-0.07215776
4.56E-02,-0.07339907,-0.07187484
4.57E-02,-0.07295328,-0.07162903
4.58E-02,-0.07256597,-0.07141546
4.59E-02,-0.07222942,-0.07122989
4.60E-02,-0.07206967,-0.0711418
4.61E-02,-0.07179826,-0.07099213
4.63E-02,-0.07156244,-0.07086209
4.64E-02,-0.07135756,-0.0707491
4.65E-02,-0.07117954,-0.07065094
4.66E-02,-0.07102488,-0.07056564
