time	V(N008,N005)	V(N009,N004)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(nc_01)	V(nc_02)	V(nc_03)	V(nc_04)	V(nc_05)	V(nc_06)	V(nc_07)	V(nc_08)	I(C1)	I(C2)	I(C3)	I(C4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(V1)	I(V2)	I(V3)	I(V4)	I(V5)	I(V6)	I(V7)
5.000010054571155e-003	-1.061901e-001	-3.381014e-002	-2.500000e+000	-2.499975e+000	-2.479178e-005	-1.286190e+000	-1.213810e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-2.513643e-004	0.000000e+000	-2.513643e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-6.284107e-004	0.000000e+000	-1.489908e-005	1.489908e-005	-2.427570e-003	2.427570e-003	-9.047475e-011	9.047521e-011	1.489917e-005	2.412671e-003	-2.427570e-003	2.427570e-003	-4.958355e-010	4.958357e-010	9.047364e-011	-9.047447e-011	2.427570e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000010163713466e-003	-1.063178e-001	-3.368235e-002	-2.500000e+000	-2.499975e+000	-2.532163e-005	-1.286318e+000	-1.213682e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-2.540928e-004	0.000000e+000	-2.540928e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-6.352321e-004	0.000000e+000	-6.134575e-006	6.134575e-006	-2.427313e-003	2.427313e-003	-9.079392e-011	9.079438e-011	6.134666e-006	2.421179e-003	-2.427314e-003	2.427314e-003	-5.064326e-010	5.064327e-010	9.077614e-011	-9.078850e-011	2.427314e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000010381998086e-003	-1.063938e-001	-3.360629e-002	-2.500000e+000	-2.499974e+000	-2.638127e-005	-1.286394e+000	-1.213606e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-2.595499e-004	0.000000e+000	-2.595499e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-6.488749e-004	0.000000e+000	-9.115346e-007	9.115346e-007	-2.427159e-003	2.427159e-003	-9.098407e-011	9.098453e-011	9.116255e-007	2.426248e-003	-2.427160e-003	2.427160e-003	-5.276253e-010	5.276255e-010	9.095751e-011	-9.097422e-011	2.427160e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000010818567327e-003	-1.064074e-001	-3.359270e-002	-2.500000e+000	-2.499971e+000	-2.850050e-005	-1.286407e+000	-1.213593e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-2.704642e-004	0.000000e+000	-2.704642e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-6.761604e-004	0.000000e+000	3.327090e-008	-3.327090e-008	-2.427128e-003	2.427128e-003	-9.101832e-011	9.101878e-011	-3.317988e-008	2.427161e-003	-2.427128e-003	2.427128e-003	-5.700098e-010	5.700100e-010	9.100663e-011	-9.101760e-011	2.427128e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000011287064708e-003	-1.064066e-001	-3.359354e-002	-2.500000e+000	-2.499969e+000	-3.077470e-005	-1.286407e+000	-1.213593e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-2.821766e-004	0.000000e+000	-2.821766e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-7.054415e-004	0.000000e+000	-2.290333e-008	2.290332e-008	-2.427125e-003	2.427125e-003	-9.101611e-011	9.101657e-011	2.299434e-008	2.427102e-003	-2.427125e-003	2.427125e-003	-6.154939e-010	6.154940e-010	9.100810e-011	-9.102148e-011	2.427125e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000012224059470e-003	-1.064068e-001	-3.359330e-002	-2.500000e+000	-2.499965e+000	-3.532309e-005	-1.286407e+000	-1.213593e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-3.056015e-004	0.000000e+000	-3.056015e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-7.640037e-004	0.000000e+000	6.732338e-009	-6.732355e-009	-2.427115e-003	2.427115e-003	-9.101686e-011	9.101732e-011	-6.641340e-009	2.427122e-003	-2.427116e-003	2.427116e-003	-7.064617e-010	7.064618e-010	9.099790e-011	-9.100743e-011	2.427116e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000014098048993e-003	-1.064066e-001	-3.359354e-002	-2.500000e+000	-2.499956e+000	-4.441981e-005	-1.286407e+000	-1.213593e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-3.524512e-004	0.000000e+000	-3.524512e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-8.811281e-004	0.000000e+000	-1.258413e-009	1.258399e-009	-2.427097e-003	2.427097e-003	-9.101590e-011	9.101636e-011	1.349406e-009	2.427097e-003	-2.427098e-003	2.427098e-003	-8.883961e-010	8.883962e-010	9.097709e-011	-9.099166e-011	2.427098e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000017846028041e-003	-1.064061e-001	-3.359401e-002	-2.500000e+000	-2.499937e+000	-6.261300e-005	-1.286406e+000	-1.213594e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-4.461507e-004	0.000000e+000	-4.461507e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-1.115377e-003	0.000000e+000	1.741794e-009	-1.741807e-009	-2.427062e-003	2.427062e-003	-9.101469e-011	9.101515e-011	-1.650802e-009	2.427065e-003	-2.427063e-003	2.427063e-003	-1.252260e-009	1.252260e-009	9.097526e-011	-9.099978e-011	2.427063e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000025341986136e-003	-1.064050e-001	-3.359509e-002	-2.500000e+000	-2.499901e+000	-9.899837e-005	-1.286405e+000	-1.213595e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-6.335496e-004	0.000000e+000	-6.335496e-001	0.000000e+000	-7.000000e-002	0.000000e+000	-1.583874e-003	0.000000e+000	4.366439e-010	-4.366415e-010	-2.426990e-003	2.426990e-003	-9.101199e-011	9.101245e-011	-3.456465e-010	2.426993e-003	-2.426992e-003	2.426992e-003	-1.979967e-009	1.979967e-009	9.099537e-011	-9.100760e-011	2.426992e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
5.000070317734707e-003	-1.063986e-001	-3.360152e-002	-2.500000e+000	-2.499683e+000	-3.172868e-004	-1.286399e+000	-1.213601e+000	-1.250000e+000	-1.250000e+000	-1.320000e+000	-1.320000e+000	-1.757943e-003	0.000000e+000	-1.757943e+000	0.000000e+000	-7.000000e-002	0.000000e+000	-4.394859e-003	0.000000e+000	8.489415e-010	-8.489353e-010	-2.426562e-003	2.426562e-003	-9.099611e-011	9.099657e-011	-7.579521e-010	2.426569e-003	-2.426568e-003	2.426568e-003	-6.345736e-009	6.345736e-009	9.099019e-011	-9.098687e-011	2.426568e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
