time,"V(N016,N007)","V(N017,N004)","V(N018,N005)","V(N019,N006)","V(N020,N008)","V(N021,N009)",V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(n007),V(n008),V(n009),V(n010),V(n011),V(n012),V(n013),V(n014),V(n015),V(n016),V(n017),V(n018),V(n019),V(n020),V(n021),I(C1),I(C2),I(C3),I(C4),I(C5),I(C6),I(C7),I(C8),I(R1),I(R2),I(R3),I(R4),I(R5),I(R6),I(R7),I(R8),I(R9),I(R10),I(R11),I(R12),I(R15),I(R16),I(R18),I(R19),I(R21),I(R22),I(R24),I(R25),I(R27),I(R28),I(R30),I(R31),I(V1),I(V2),I(V3),I(V4),I(V5),I(V6),I(V7)
0.04510350000000001,-0.07385529,-0.05864643,-0.06112249,-0.06614471,-0.07887751,-0.08135357,0.0,-0.09873665,0.09873665,-0.01135288,-0.008877005,-0.003855105,0.003855105,0.008877005,0.01135288,6.834339e-07,5.056679e-07,1.8896910000000002e-07,-1.8799520000000002e-07,-5.04694e-07,-6.8246e-07,-0.07000019,-0.06999931,-0.06999949,-0.06999981,-0.07000051,-0.07000069,3.543359e-10,-3.543359e-10,-0.004537391,0.004537391,8.159223e-10,-8.159223e-10,-1.043494e-09,1.043494e-09,-1.6063719999999999e-12,1.6063719999999999e-12,-2.203716e-09,0.004535418,-0.0015813589999999998,0.0015813589999999998,-3.698962e-12,1.9747329999999998e-06,-1.9747329999999998e-06,3.698961e-12,4.730649e-12,-4.73065e-12,-0.001497661,-0.001456396,0.001497661,0.001456396,-1.850986e-09,-1.038763e-09,-1.850986e-09,-1.038763e-09,0.002954059,0.0014563970000000001,0.002954059,0.0014563970000000001,1.6063719999999999e-12,-1.6063719999999999e-12,0.004535416,3.698962e-12,-3.698961e-12,-4.730649e-12,4.73065e-12
0.04510450000000001,-0.07351653,-0.0596441,-0.06190257,-0.06648348,-0.07809743,-0.0803559,0.0,-0.09006058,0.09006058,-0.01035529,-0.008096975,-0.003516354,0.003516354,0.008096975,0.01035529,6.123341999999999e-07,4.5314700000000003e-07,1.6942429999999997e-07,-1.684508e-07,-4.5217350000000005e-07,-6.113606999999999e-07,-0.07000017,-0.06999939,-0.06999955,-0.06999983,-0.07000045,-0.07000061,3.232001e-10,-3.232001e-10,-0.004138686,0.004138686,7.442266e-10,-7.442266e-10,-9.51801e-10,9.51801e-10,-1.4652190000000001e-12,1.4652190000000001e-12,-2.010074e-09,0.0041368870000000005,-0.001442404,0.001442404,-3.3739309999999997e-12,1.801212e-06,-1.801212e-06,3.3739300000000003e-12,4.314963e-12,-4.314963e-12,-0.00136606,-0.001328421,0.00136606,0.001328421,-1.6883389999999999e-09,-9.47486e-10,-1.6883389999999999e-09,-9.47486e-10,0.0026944829999999997,0.0013284220000000001,0.0026944829999999997,0.0013284220000000001,1.4652190000000001e-12,-1.4652190000000001e-12,0.004136885,3.3739300000000003e-12,-3.3739300000000003e-12,-4.314963e-12,4.314963e-12
0.045105500000000014,-0.07320753,-0.06055407,-0.06261409,-0.06679248,-0.0773859,-0.07944593,0.0,-0.08214688,0.08214688,-0.009445365,-0.007385487,-0.0032073690000000003,0.0032073690000000003,0.007385487,0.009445365,5.696305e-07,4.214804e-07,1.5755429999999999e-07,-1.5658120000000003e-07,-4.205072e-07,-5.686571999999999e-07,-0.07000016,-0.06999943,-0.06999958,-0.06999984,-0.07000042,-0.07000057,2.948002e-10,-2.948002e-10,-0.003775016,0.003775016,6.788307e-10,-6.788307e-10,-8.681654e-10,8.681654e-10,-1.336469e-12,1.3364680000000001e-12,-1.833447e-09,0.003773375,-0.001315658,0.001315658,-3.0774599999999997e-12,1.642937e-06,-1.642937e-06,3.0774599999999997e-12,3.935804e-12,-3.935804e-12,-0.001246023,-0.0012116919999999999,0.001246023,0.0012116919999999999,-1.539983e-09,-8.642295e-10,-1.539983e-09,-8.642295e-10,0.0024577170000000003,0.001211693,0.0024577170000000003,0.001211693,1.336469e-12,-1.3364680000000001e-12,0.003773373,3.0774599999999997e-12,-3.0774599999999997e-12,-3.935804e-12,3.935804e-12
0.045106500000000015,-0.07292568,-0.0613841,-0.0632631,-0.06707432,-0.07673689,-0.0786159,0.0,-0.07492855,0.07492855,-0.008615392,-0.006736516999999999,-0.002925534,0.002925534,0.006736516999999999,0.008615392,5.085874e-07,3.763986e-07,1.407852e-07,-1.3981229999999998e-07,-3.7542580000000003e-07,-5.076146e-07,-0.07000014,-0.06999949,-0.06999962,-0.06999986,-0.07000037,-0.07000051,2.688959e-10,-2.688959e-10,-0.003443302,0.003443302,6.191813e-10,-6.191813e-10,-7.91879e-10,7.91879e-10,-1.219032e-12,1.219032e-12,-1.67234e-09,0.003441805,-0.00120005,0.00120005,-2.807041e-12,1.498571e-06,-1.498571e-06,2.807041e-12,3.589961e-12,-3.589961e-12,-0.001136534,-0.001105219,0.001136534,0.001105219,-1.404663e-09,-7.882889e-10,-1.404663e-09,-7.882889e-10,0.002241755,0.00110522,0.002241755,0.00110522,1.219032e-12,-1.219032e-12,0.003441804,2.807041e-12,-2.807041e-12,-3.589961e-12,3.589961e-12
0.045107500000000016,-0.07266859,-0.06214117,-0.06385508,-0.0673314,-0.07614492,-0.07785883,0.0,-0.06834452,0.06834452,-0.00785835,-0.006144574,-0.002668465,0.002668465,0.006144574,0.00785835,4.749434e-07,3.514346e-07,1.314166e-07,-1.3044410000000002e-07,-3.5046209999999997e-07,-4.7397090000000004e-07,-0.07000013,-0.06999952,-0.06999965,-0.06999987,-0.07000035,-0.07000048,2.452677e-10,-2.452677e-10,-0.003140736,0.003140736,5.647732e-10,-5.647732e-10,-7.222958e-10,7.222958e-10,-1.111915e-12,1.111914e-12,-1.52539e-09,0.0031393709999999997,-0.001094601,0.001094601,-2.560384e-12,1.36689e-06,-1.36689e-06,2.560384e-12,3.274508e-12,-3.274508e-12,-0.001036666,-0.001008103,0.001036666,0.001008103,-1.281234e-09,-7.190213e-10,-1.281234e-09,-7.190213e-10,0.00204477,0.001008103,0.00204477,0.001008103,1.111915e-12,-1.111914e-12,0.0031393690000000004,2.560384e-12,-2.560384e-12,-3.274508e-12,3.274508e-12
0.04510850000000001,-0.0724341,-0.06283175,-0.06439504,-0.0675659,-0.07560496,-0.07716825,0.0,-0.06233902,0.06233902,-0.00716783,-0.005604645,-0.002433985,0.002433985,0.005604645,0.00716783,4.2227699999999996e-07,3.12549e-07,1.1695919999999999e-07,-1.1598710000000001e-07,-3.115769e-07,-4.2130490000000003e-07,-0.07000012,-0.06999958,-0.06999969,-0.06999988,-0.07000031,-0.07000042,2.237159e-10,-2.237159e-10,-0.0028647570000000003,0.0028647570000000003,5.151461e-10,-5.151461e-10,-6.58827e-10,6.58827e-10,-1.01421e-12,1.014209e-12,-1.3913529999999999e-09,0.0028635109999999996,-0.0009984173,0.0009984173,-2.3354009999999997e-12,1.24678e-06,-1.24678e-06,2.3354009999999997e-12,2.986774e-12,-2.986774e-12,-0.000945573,-0.0009195199,0.000945573,0.0009195199,-1.1686510000000002e-09,-6.558403e-10,-1.1686510000000002e-09,-6.558403e-10,0.0018650939999999999,0.0009195205999999999,0.0018650939999999999,0.0009195205999999999,1.01421e-12,-1.014209e-12,0.00286351,2.3354009999999997e-12,-2.3354e-12,-2.986774e-12,2.986774e-12
0.04510950000000001,-0.07222022,-0.06346162,-0.06488755,-0.06777978,-0.07511245,-0.07653838,0.0,-0.05686124,0.05686124,-0.006537986,-0.00511216,-0.0022201079999999997,0.0022201079999999997,0.00511216,0.006537986,3.9616079999999996e-07,2.931542e-07,1.096691e-07,-1.086974e-07,-2.9218250000000003e-07,-3.951891e-07,-0.07000011,-0.06999961,-0.06999971,-0.06999989,-0.07000029,-0.0700004,2.040577e-10,-2.040577e-10,-0.002613028,0.002613028,4.698797e-10,-4.698797e-10,-6.009353e-10,6.009353e-10,-9.250903e-13,9.250899e-13,-1.269093e-09,0.002611892,-0.0009106855,0.0009106855,-2.1301869999999997e-12,1.137225e-06,-1.137225e-06,2.1301869999999997e-12,2.724323e-12,-2.724324e-12,-0.0008624846,-0.0008387208,0.0008624846,0.0008387208,-1.065961e-09,-5.98211e-10,-1.065961e-09,-5.98211e-10,0.0017012070000000002,0.0008387214999999999,0.0017012070000000002,0.0008387214999999999,9.250903e-13,-9.250899e-13,0.002611891,2.1301869999999997e-12,-2.1301869999999997e-12,-2.724323e-12,2.724324e-12
0.04511050000000001,-0.07202512,-0.06403616,-0.06533679,-0.06797488,-0.07466321,-0.07596384,0.0,-0.05186479,0.05186479,-0.005963488,-0.00466295,-0.002025025,0.002025025,0.00466295,0.005963488,3.504732e-07,2.5943089999999997e-07,9.713774e-08,-9.616635e-08,-2.584595e-07,-3.4950179999999996e-07,-0.0700001,-0.06999965,-0.06999974,-0.0699999,-0.07000026,-0.07000035,1.86127e-10,-1.86127e-10,-0.002383419,0.002383419,4.28591e-10,-4.28591e-10,-5.481307e-10,5.481307e-10,-8.438018e-13,8.438014000000001e-13,-1.1575770000000001e-09,0.002382383,-0.0008306627,0.0008306627,-1.943006e-12,1.037296e-06,-1.037296e-06,1.9430049999999998e-12,2.484935e-12,-2.484935e-12,-0.0007866972999999999,-0.0007650217,0.0007866972999999999,0.0007650217,-9.722937e-10,-5.456457e-10,-9.722937e-10,-5.456457e-10,0.00155172,0.0007650222,0.00155172,0.0007650222,8.438018e-13,-8.438014000000001e-13,0.002382382,1.943006e-12,-1.9430049999999998e-12,-2.484935e-12,2.484935e-12
0.04511150000000001,-0.07184717,-0.0645602,-0.06574654,-0.06815283,-0.07425346,-0.0754398,0.0,-0.04730739,0.04730739,-0.0054394709999999995,-0.004253212,-0.001847085,0.001847085,0.004253212,0.0054394709999999995,3.3061050000000003e-07,2.446627e-07,9.157434e-08,-9.060330000000001e-08,-2.436916e-07,-3.2963949999999997e-07,-0.07000009,-0.06999967,-0.06999975,-0.06999991,-0.07000025,-0.07000033,1.697719e-10,-1.697719e-10,-0.002173986,0.002173986,3.909303e-10,-3.909303e-10,-4.999658e-10,4.999658e-10,-7.696563000000001e-13,7.696558000000001e-13,-1.05586e-09,0.002173041,-0.0007576716999999999,0.0007576716999999999,-1.772272e-12,9.461477e-07,-9.461477e-07,1.772272e-12,2.266581e-12,-2.266582e-12,-0.0007175696,-0.0006977986,0.0007175696,0.0006977986,-8.868574e-10,-4.976993e-10,-8.868574e-10,-4.976993e-10,0.0014153689999999999,0.0006977991000000001,0.0014153689999999999,0.0006977991000000001,7.696563000000001e-13,-7.696558000000001e-13,0.00217304,1.772272e-12,-1.772272e-12,-2.266581e-12,2.266582e-12
0.045112500000000014,-0.07168486,-0.06503821,-0.06612031,-0.06831514,-0.0738797,-0.07496179,0.0,-0.04315044,0.04315044,-0.004961499,-0.0038794790000000003,-0.00168478,0.00168478,0.0038794790000000003,0.004961499,2.9073859999999997e-07,2.152411e-07,8.064792000000001e-08,-7.967721000000001e-08,-2.1427039999999997e-07,-2.897679e-07,-0.07000008,-0.06999971,-0.06999978,-0.06999992,-0.07000022,-0.07000029,1.548539e-10,-1.548539e-10,-0.001982956,0.001982956,3.56579e-10,-3.56579e-10,-4.560334e-10,4.560334e-10,-7.020259e-13,7.020255e-13,-9.630803e-10,0.0019820939999999998,-0.0006910944,0.0006910944,-1.616541e-12,8.630088000000001e-07,-8.630088000000001e-07,1.616541e-12,2.067415e-12,-2.067415e-12,-0.000654516,-0.0006364824,0.000654516,0.0006364824,-8.089285e-10,-4.53966e-10,-8.089285e-10,-4.53966e-10,0.001290999,0.0006364828,0.001290999,0.0006364828,7.020259e-13,-7.020255e-13,0.001982093,1.616541e-12,-1.616541e-12,-2.067415e-12,2.067415e-12
0.04511350000000002,-0.07153681,-0.0654742,-0.06646121,-0.06846319,-0.07353879,-0.0745258,0.0,-0.03935878,0.03935878,-0.004525528,-0.003538585,-0.001536737,0.001536737,0.003538585,0.004525528,2.760692e-07,2.043151e-07,7.651855000000001e-08,-7.554816000000001e-08,-2.033448e-07,-2.750988e-07,-0.07000007,-0.06999972,-0.0699998,-0.06999993,-0.0700002,-0.07000028,1.412467e-10,-1.412467e-10,-0.001808712,0.001808712,3.25246e-10,-3.25246e-10,-4.159613e-10,4.159613e-10,-6.403383000000001e-13,6.403378e-13,-8.784535e-10,0.001807925,-0.0006303673,0.0006303673,-1.474494e-12,7.871755e-07,-7.871755e-07,1.474494e-12,1.8857490000000003e-12,-1.88575e-12,-0.0005970031,-0.0005805541000000001,0.0005970031,0.0005805541000000001,-7.378471e-10,-4.140756e-10,-7.378471e-10,-4.140756e-10,0.001177558,0.0005805545,0.001177558,0.0005805545,6.403383000000001e-13,-6.403378e-13,0.001807925,1.474494e-12,-1.474494e-12,-1.8857490000000003e-12,1.88575e-12
0.045114500000000016,-0.07140177,-0.0658719,-0.06677217,-0.06859823,-0.07322783,-0.0741281,0.0,-0.03590029,0.03590029,-0.004127866,-0.003227647,-0.0014017020000000001,0.0014017020000000001,0.003227647,0.004127866,2.410454e-07,1.784796e-07,6.692996e-08,-6.595989e-08,-1.775095e-07,-2.400753e-07,-0.07000007,-0.06999976,-0.06999982,-0.06999993,-0.07000018,-0.07000024,1.288352e-10,-1.288352e-10,-0.0016497789999999999,0.0016497789999999999,2.966664e-10,-2.966664e-10,-3.794105e-10,3.794105e-10,-5.840711999999999e-13,5.840708e-13,-8.012631e-10,0.001649061,-0.0005749764,0.0005749764,-1.344929e-12,7.180057e-07,-7.180057e-07,1.344929e-12,1.7200470000000002e-12,-1.7200470000000002e-12,-0.000544544,-0.0005295403,0.000544544,0.0005295403,-6.730119e-10,-3.776904e-10,-6.730119e-10,-3.776904e-10,0.001074085,0.0005295407,0.001074085,0.0005295407,5.840711999999999e-13,-5.840708e-13,0.001649061,1.344929e-12,-1.344929e-12,-1.7200470000000002e-12,1.7200470000000002e-12
0.04511550000000002,-0.07127859,-0.06623462,-0.0670558,-0.0687214,-0.0729442,-0.07376538,0.0,-0.0327457,0.0327457,-0.003765147,-0.00294403,-0.001278533,0.001278533,0.00294403,0.003765147,2.306871e-07,1.7074329999999999e-07,6.399112e-08,-6.302138e-08,-1.697736e-07,-2.2971740000000001e-07,-0.07000006,-0.06999977,-0.06999983,-0.06999993,-0.07000017,-0.07000023,1.175144e-10,-1.175144e-10,-0.001504811,0.001504811,2.70598e-10,-2.70598e-10,-3.460713e-10,3.460713e-10,-5.327483000000001e-13,5.327479e-13,-7.308553e-10,0.001504157,-0.0005244526999999999,0.0005244526999999999,-1.226749e-12,6.549139e-07,-6.549139e-07,1.226749e-12,1.568905e-12,-1.568905e-12,-0.0004966944,-0.00048300910000000004,0.0004966944,0.00048300910000000004,-6.138737e-10,-3.445024e-10,-6.138737e-10,-3.445024e-10,0.0009797042,0.00048300949999999996,0.0009797042,0.00048300949999999996,5.327483000000001e-13,-5.327479e-13,0.001504156,1.226749e-12,-1.226749e-12,-1.568905e-12,1.568905e-12
