time	V(N016,N007)	V(N017,N004)	V(N018,N005)	V(N019,N006)	V(N020,N008)	V(N021,N009)	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)	V(n008)	V(n009)	V(n010)	V(n011)	V(n012)	V(n013)	V(n014)	V(n015)	V(n016)	V(n017)	V(n018)	V(n019)	V(n020)	V(n021)	I(C1)	I(C2)	I(C3)	I(C4)	I(C5)	I(C6)	I(C7)	I(C8)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(R6)	I(R7)	I(R8)	I(R9)	I(R10)	I(R11)	I(R12)	I(R15)	I(R16)	I(R18)	I(R19)	I(R21)	I(R22)	I(R24)	I(R25)	I(R27)	I(R28)	I(R30)	I(R31)	I(V1)	I(V2)	I(V3)	I(V4)	I(V5)	I(V6)	I(V7)
5.000705492416368e-003	-7.033098e-002	-6.902546e-002	-6.923796e-002	-6.966901e-002	-7.076205e-002	-7.097454e-002	-1.763731e-002	-1.730218e-002	-3.351341e-004	-9.794094e-003	-9.581368e-003	-9.149886e-003	-8.487424e-003	-8.055943e-003	-7.843216e-003	-8.819555e-003	-8.819321e-003	-8.818904e-003	-8.818407e-003	-8.817989e-003	-8.817755e-003	-7.881841e-002	-7.881955e-002	-7.881932e-002	-7.881890e-002	-7.881799e-002	-7.881775e-002	-4.543007e-010	4.543007e-010	-3.896797e-004	3.896797e-004	-1.044686e-009	1.044686e-009	1.335282e-009	-1.335282e-009	-1.379125e-013	1.379125e-013	2.835130e-009	3.896835e-004	-1.358715e-004	1.358715e-004	-3.175277e-013	-6.702682e-009	6.702682e-009	3.175277e-013	4.060692e-013	-4.060693e-013	-1.286801e-004	-1.251347e-004	1.286801e-004	1.251347e-004	2.380691e-009	1.335688e-009	2.380691e-009	1.335688e-009	2.538125e-004	1.251334e-004	2.538125e-004	1.251334e-004	1.379125e-013	-1.379125e-013	3.896864e-004	3.175278e-013	-3.175276e-013	-4.060692e-013	4.060692e-013
5.000880080456174e-003	-7.040924e-002	-6.879499e-002	-6.905775e-002	-6.959075e-002	-7.094225e-002	-7.120501e-002	-2.200201e-002	-2.148881e-002	-5.131999e-004	-1.220690e-002	-1.194392e-002	-1.141049e-002	-1.059152e-002	-1.005810e-002	-9.795111e-003	-1.100189e-002	-1.100166e-002	-1.100125e-002	-1.100076e-002	-1.100035e-002	-1.100012e-002	-8.100076e-002	-8.100189e-002	-8.100166e-002	-8.100125e-002	-8.100035e-002	-8.100012e-002	-4.472513e-010	4.472513e-010	-4.817419e-004	4.817419e-004	-1.028513e-009	1.028513e-009	1.314630e-009	-1.314630e-009	-1.705207e-013	1.705207e-013	2.791460e-009	4.817493e-004	-1.679720e-004	1.679720e-004	-3.926139e-013	-1.026400e-008	1.026400e-008	3.926139e-013	5.020980e-013	-5.020980e-013	-1.590816e-004	-1.546985e-004	1.590816e-004	1.546985e-004	2.344038e-009	1.315132e-009	2.344038e-009	1.315132e-009	3.137778e-004	1.546972e-004	3.137778e-004	1.546972e-004	1.705207e-013	-1.705207e-013	4.817521e-004	3.926140e-013	-3.926139e-013	-5.020979e-013	5.020980e-013
5.001054668495980e-003	-7.048603e-002	-6.856885e-002	-6.888093e-002	-6.951397e-002	-7.111908e-002	-7.143114e-002	-2.636671e-002	-2.563773e-002	-7.289819e-004	-1.461537e-002	-1.430307e-002	-1.366963e-002	-1.269709e-002	-1.206364e-002	-1.175134e-002	-1.318422e-002	-1.318400e-002	-1.318360e-002	-1.318312e-002	-1.318271e-002	-1.318249e-002	-8.318312e-002	-8.318422e-002	-8.318400e-002	-8.318359e-002	-8.318272e-002	-8.318249e-002	-4.413121e-010	4.413121e-010	-5.720709e-004	5.720709e-004	-1.015311e-009	1.015311e-009	1.298007e-009	-1.298007e-009	-2.025150e-013	2.025150e-013	2.755896e-009	5.720826e-004	-1.994684e-004	1.994684e-004	-4.662865e-013	-1.457964e-008	1.457964e-008	4.662865e-013	5.963187e-013	-5.963187e-013	-1.889110e-004	-1.837060e-004	1.889110e-004	1.837060e-004	2.314381e-009	1.298603e-009	2.314381e-009	1.298603e-009	3.726147e-004	1.837047e-004	3.726147e-004	1.837047e-004	2.025150e-013	-2.025150e-013	5.720854e-004	4.662865e-013	-4.662864e-013	-5.963186e-013	5.963187e-013
5.001229256535785e-003	-7.056135e-002	-6.834704e-002	-6.870749e-002	-6.943865e-002	-7.129251e-002	-7.165295e-002	-3.073141e-002	-2.974893e-002	-9.824800e-004	-1.701950e-002	-1.665884e-002	-1.592729e-002	-1.480413e-002	-1.407258e-002	-1.371191e-002	-1.536655e-002	-1.536633e-002	-1.536594e-002	-1.536547e-002	-1.536508e-002	-1.536486e-002	-8.536547e-002	-8.536655e-002	-8.536633e-002	-8.536594e-002	-8.536509e-002	-8.536486e-002	-4.364833e-010	4.364833e-010	-6.606666e-004	6.606666e-004	-1.005081e-009	1.005081e-009	1.285412e-009	-1.285412e-009	-2.338954e-013	2.338954e-013	2.728437e-009	6.606835e-004	-2.303608e-004	2.303608e-004	-5.385453e-013	-1.964960e-008	1.964960e-008	5.385453e-013	6.887314e-013	-6.887314e-013	-2.181683e-004	-2.121572e-004	2.181683e-004	2.121572e-004	2.291720e-009	1.286100e-009	2.291720e-009	1.286100e-009	4.303232e-004	2.121559e-004	4.303232e-004	2.121559e-004	2.338954e-013	-2.338954e-013	6.606862e-004	5.385454e-013	-5.385453e-013	-6.887313e-013	6.887314e-013
5.002190339911630e-003	-7.095961e-002	-6.717417e-002	-6.779040e-002	-6.904038e-002	-7.220960e-002	-7.282583e-002	-5.475850e-002	-5.196236e-002	-2.796142e-003	-3.020584e-002	-2.958941e-002	-2.833908e-002	-2.641942e-002	-2.516909e-002	-2.455266e-002	-2.738001e-002	-2.737981e-002	-2.737946e-002	-2.737904e-002	-2.737868e-002	-2.737848e-002	-9.737904e-002	-9.738001e-002	-9.737981e-002	-9.737946e-002	-9.737869e-002	-9.737848e-002	-3.998993e-010	3.998993e-010	-1.129156e-003	1.129156e-003	-9.208401e-010	9.208401e-010	1.177674e-009	-1.177674e-009	-3.998399e-013	3.998399e-013	2.500912e-009	1.129210e-003	-3.937213e-004	3.937213e-004	-9.206624e-013	-5.592284e-008	5.592284e-008	9.206624e-013	1.177426e-012	-1.177426e-012	-3.728824e-004	-3.626086e-004	3.728824e-004	3.626086e-004	2.100613e-009	1.178852e-009	2.100613e-009	1.178852e-009	7.354890e-004	3.626074e-004	7.354890e-004	3.626074e-004	3.998399e-013	-3.998399e-013	1.129212e-003	9.206624e-013	-9.206625e-013	-1.177426e-012	1.177426e-012
5.003190339911630e-003	-7.134161e-002	-6.604923e-002	-6.691079e-002	-6.865839e-002	-7.308920e-002	-7.395078e-002	-7.975850e-002	-7.424557e-002	-5.512924e-003	-4.383073e-002	-4.296898e-002	-4.122106e-002	-3.853744e-002	-3.678952e-002	-3.592777e-002	-3.987996e-002	-3.987977e-002	-3.987944e-002	-3.987905e-002	-3.987873e-002	-3.987854e-002	-1.098791e-001	-1.098800e-001	-1.098798e-001	-1.098794e-001	-1.098787e-001	-1.098785e-001	-3.648097e-010	3.648097e-010	-1.578489e-003	1.578489e-003	-8.400400e-010	8.400400e-010	1.074338e-009	-1.074338e-009	-5.590056e-013	5.590056e-013	2.282680e-009	1.578597e-003	-5.504086e-004	5.504086e-004	-1.287170e-012	-1.102585e-007	1.102585e-007	1.287170e-012	1.646157e-012	-1.646157e-012	-5.212766e-004	-5.069141e-004	5.212766e-004	5.069141e-004	1.917312e-009	1.075984e-009	1.917312e-009	1.075984e-009	1.028189e-003	5.069130e-004	1.028189e-003	5.069130e-004	5.590056e-013	-5.590056e-013	1.578599e-003	1.287170e-012	-1.287170e-012	-1.646157e-012	1.646157e-012
5.004190339911631e-003	-7.169041e-002	-6.502205e-002	-6.610763e-002	-6.830959e-002	-7.389237e-002	-7.497795e-002	-1.047585e-001	-9.567834e-002	-9.080153e-003	-5.735783e-002	-5.627209e-002	-5.406983e-002	-5.068867e-002	-4.848641e-002	-4.740066e-002	-5.237988e-002	-5.237972e-002	-5.237943e-002	-5.237907e-002	-5.237878e-002	-5.237861e-002	-1.223791e-001	-1.223799e-001	-1.223797e-001	-1.223794e-001	-1.223788e-001	-1.223786e-001	-3.327722e-010	3.327722e-010	-1.988740e-003	1.988740e-003	-7.662680e-010	7.662680e-010	9.799901e-010	-9.799901e-010	-7.043351e-013	7.043351e-013	2.083431e-009	1.988919e-003	-6.934752e-004	6.934752e-004	-1.621818e-012	-1.816031e-007	1.816031e-007	1.621818e-012	2.074142e-012	-2.074142e-012	-6.567709e-004	-6.386752e-004	6.567709e-004	6.386752e-004	1.749954e-009	9.820642e-010	1.749954e-009	9.820642e-010	1.295444e-003	6.386742e-004	1.295444e-003	6.386742e-004	7.043351e-013	-7.043351e-013	1.988921e-003	1.621818e-012	-1.621818e-012	-2.074142e-012	2.074142e-012
5.005190339911631e-003	-7.200857e-002	-6.408510e-002	-6.537501e-002	-6.799144e-002	-7.462499e-002	-7.591490e-002	-1.297585e-001	-1.163267e-001	-1.343183e-002	-7.079474e-002	-6.950467e-002	-6.688797e-002	-6.287052e-002	-6.025383e-002	-5.896376e-002	-6.487983e-002	-6.487969e-002	-6.487941e-002	-6.487909e-002	-6.487881e-002	-6.487866e-002	-1.348791e-001	-1.348798e-001	-1.348797e-001	-1.348794e-001	-1.348788e-001	-1.348787e-001	-3.035499e-010	3.035499e-010	-2.362941e-003	2.362941e-003	-6.989783e-010	6.989783e-010	8.939324e-010	-8.939324e-010	-8.369022e-013	8.369022e-013	1.901689e-009	2.363208e-003	-8.239781e-004	8.239781e-004	-1.927077e-012	-2.686367e-007	2.686367e-007	1.927077e-012	2.464543e-012	-2.464543e-012	-7.803666e-004	-7.588654e-004	7.803666e-004	7.588654e-004	1.597302e-009	8.963970e-010	1.597302e-009	8.963970e-010	1.539230e-003	7.588645e-004	1.539230e-003	7.588645e-004	8.369023e-013	-8.369022e-013	2.363210e-003	1.927077e-012	-1.927077e-012	-2.464543e-012	2.464543e-012
5.006190339911631e-003	-7.229879e-002	-6.323041e-002	-6.470671e-002	-6.770121e-002	-7.529329e-002	-7.676959e-002	-1.547585e-001	-1.362595e-001	-1.849904e-002	-8.414938e-002	-8.267292e-002	-7.967819e-002	-7.508031e-002	-7.208557e-002	-7.060912e-002	-7.737978e-002	-7.737964e-002	-7.737940e-002	-7.737910e-002	-7.737885e-002	-7.737872e-002	-1.473791e-001	-1.473798e-001	-1.473796e-001	-1.473794e-001	-1.473789e-001	-1.473787e-001	-2.768953e-010	2.768953e-010	-2.704262e-003	2.704262e-003	-6.376015e-010	6.376015e-010	8.154368e-010	-8.154368e-010	-9.578283e-013	9.578283e-013	1.735918e-009	2.704630e-003	-9.430213e-004	9.430213e-004	-2.205531e-012	-3.699808e-007	3.699808e-007	2.205531e-012	2.820661e-012	-2.820661e-012	-8.931090e-004	-8.685015e-004	8.931090e-004	8.685015e-004	1.458064e-009	8.182575e-010	1.458064e-009	8.182575e-010	1.761609e-003	8.685007e-004	1.761609e-003	8.685007e-004	9.578283e-013	-9.578283e-013	2.704632e-003	2.205532e-012	-2.205532e-012	-2.820661e-012	2.820661e-012
5.007190339911631e-003	-7.256353e-002	-6.245078e-002	-6.409711e-002	-6.743647e-002	-7.590288e-002	-7.754923e-002	-1.797585e-001	-1.555396e-001	-2.421889e-002	-9.742896e-002	-9.578250e-002	-9.244291e-002	-8.731559e-002	-8.397600e-002	-8.232953e-002	-8.987974e-002	-8.987961e-002	-8.987939e-002	-8.987911e-002	-8.987889e-002	-8.987876e-002	-1.598791e-001	-1.598797e-001	-1.598796e-001	-1.598794e-001	-1.598789e-001	-1.598788e-001	-2.525830e-010	2.525830e-010	-3.015590e-003	3.015590e-003	-5.816178e-010	5.816178e-010	7.438385e-010	-7.438385e-010	-1.068136e-012	1.068136e-012	1.584712e-009	3.016073e-003	-1.051612e-003	1.051612e-003	-2.459535e-012	-4.843778e-007	4.843778e-007	2.459535e-012	3.145511e-012	-3.145511e-012	-9.959519e-004	-9.685108e-004	9.959519e-004	9.685108e-004	1.331061e-009	7.469841e-010	1.331061e-009	7.469841e-010	1.964461e-003	9.685100e-004	1.964461e-003	9.685100e-004	1.068136e-012	-1.068136e-012	3.016074e-003	2.459536e-012	-2.459536e-012	-3.145510e-012	3.145511e-012
