time,"V(N008,N005)","V(N009,N004)",V(n004),V(n005),V(n008),V(n009)
0.0,-0.07,-0.07,-2.1042e-20,-2.1042e-20,-0.07,-0.07
0.0001006310719994779,-0.07000001,-0.07000001,-1.3730870000000003e-13,-1.3730870000000003e-13,-0.07000001,-0.07000001
0.0002030310719994804,-0.07000002,-0.07000002,-2.353349e-13,-2.353349e-13,-0.07000002,-0.07000002
0.0003054310719994828,-0.07000002,-0.07000002,-3.368406e-13,-3.368406e-13,-0.07000002,-0.07000002
0.0004078310719994853,-0.07000003,-0.07000003,-4.4181140000000006e-13,-4.4181140000000006e-13,-0.07000003,-0.07000003
0.0005102310719994759,-0.07000004,-0.07000004,-5.502335999999999e-13,-5.502335999999999e-13,-0.07000004,-0.07000004
0.0006126310719994229,-0.07000005,-0.07000005,-6.620928000000001e-13,-6.620928000000001e-13,-0.07000005,-0.07000005
0.0007150310719993699,-0.07000005,-0.07000005,-7.77375e-13,-7.77375e-13,-0.07000005,-0.07000005
0.0008174310719993169,-0.07000006,-0.07000006,-8.960662000000001e-13,-8.960662000000001e-13,-0.07000006,-0.07000006
0.0009198310719992637,-0.07000007,-0.07000007,-1.018152e-12,-1.018152e-12,-0.07000007,-0.07000007
0.00102223107199926,-0.07000007,-0.07000007,-1.1436200000000001e-12,-1.1436200000000001e-12,-0.07000007,-0.07000007
0.001124631071999318,-0.07000008,-0.07000008,-1.272455e-12,-1.272455e-12,-0.07000008,-0.07000008
0.001227031071999376,-0.07000009,-0.07000009,-1.404643e-12,-1.404643e-12,-0.07000009,-0.07000009
0.001329431071999434,-0.0700001,-0.0700001,-1.5401709999999999e-12,-1.5401709999999999e-12,-0.0700001,-0.0700001
0.001431831071999492,-0.0700001,-0.0700001,-1.6790259999999999e-12,-1.6790259999999999e-12,-0.0700001,-0.0700001
0.00153423107199955,-0.07000011,-0.07000011,-1.821193e-12,-1.821193e-12,-0.07000011,-0.07000011
0.001636631071999608,-0.07000012,-0.07000012,-1.96666e-12,-1.96666e-12,-0.07000012,-0.07000012
0.001739031071999666,-0.07000013,-0.07000013,-2.1154119999999997e-12,-2.1154119999999997e-12,-0.07000013,-0.07000013
0.0018414310719997238,-0.07000013,-0.07000013,-2.144006e-12,-2.144006e-12,-0.07000013,-0.07000013
0.001943831071999782,-0.07000013,-0.07000013,-2.201952e-12,-2.201952e-12,-0.07000013,-0.07000013
0.002046231071999638,-0.07000013,-0.07000013,-2.259484e-12,-2.259484e-12,-0.07000013,-0.07000013
0.002148631071999474,-0.07000013,-0.07000013,-2.3167799999999997e-12,-2.3167799999999997e-12,-0.07000013,-0.07000013
0.0022510310719993103,-0.07000013,-0.07000013,-2.373843e-12,-2.373843e-12,-0.07000013,-0.07000013
0.0023534310719991462,-0.07000013,-0.07000013,-2.430672e-12,-2.430672e-12,-0.07000013,-0.07000013
0.002455831071998982,-0.07000013,-0.07000013,-2.4872680000000002e-12,-2.4872680000000002e-12,-0.07000013,-0.07000013
0.002558231071998818,-0.07000013,-0.07000013,-2.543634e-12,-2.543634e-12,-0.07000013,-0.07000013
0.002660631071998654,-0.07000013,-0.07000013,-2.5997689999999998e-12,-2.5997689999999998e-12,-0.07000013,-0.07000013
0.0027630310719984896,-0.07000013,-0.07000013,-2.655674e-12,-2.655674e-12,-0.07000013,-0.07000013
0.002865431071998326,-0.07000013,-0.07000013,-2.711351e-12,-2.711351e-12,-0.07000013,-0.07000013
0.002967831071998162,-0.07000013,-0.07000013,-2.7668009999999997e-12,-2.7668009999999997e-12,-0.07000013,-0.07000013
