,A,B
2378,Step Information: X=550  (Run: 6/11),
2379,0.000000000000000e+000,-0.07
2380,9.999999960041972e-012,-0.07
2381,1.999999992008394e-011,-0.07
2382,3.999999984016789e-011,-0.07
2383,4.499999982018887e-011,-0.07
2384,5.499999978023085e-011,-0.07
2385,7.499999970031479e-011,-0.07
2386,7.999999968033578e-011,-0.07
2387,8.999999964037775e-011,-0.07
2388,1.099999995604617e-010,-0.07
2389,1.499999994006296e-010,-0.07
2390,1.599999993606716e-010,-0.07
2391,1.799999992807555e-010,-0.07
2392,2.199999991209234e-010,-0.07
2393,2.999999988012592e-010,-0.07
2394,4.599999981619307e-010,-0.07
2395,7.799999968832738e-010,-0.07
2396,1.419999994325960e-009,-0.07
2397,2.699999989211332e-009,-0.07
2398,5.259999978982077e-009,-0.07
2399,1.037999995852357e-008,-0.07
2400,2.061999991760655e-008,-0.07
2401,4.109999983577251e-008,-0.07
2402,8.205999967210442e-008,-0.07
2403,1.639799993447683e-007,-0.07
2404,3.278199986900959e-007,-0.07
2405,6.554999973807513e-007,-0.07
2406,1.310859994762062e-006,-0.07
2407,2.310859994762062e-006,-0.07
2408,2.031085999476207e-005,-0.07
2409,7.303108599947733e-004,-0.07000005
2410,9.963108599947777e-004,-0.07000007
2411,1.837310859994707e-003,-0.07000013
2412,2.020310859994706e-003,-0.07000014
2413,3.044310859994842e-003,-0.07000018
2414,4.068310859994978e-003,-0.0700002
2415,4.998310859995101e-003,-0.0700002
2416,4.999310859995101e-003,-0.0700002
2417,5.000000000000000e-003,-0.0700002
2418,5.000003467292363e-003,-0.07000158
2419,5.000010401877090e-003,-0.07000437
2420,5.000016918447478e-003,-0.070007
2421,5.000023727554852e-003,-0.07000974
2422,5.000037345769601e-003,-0.07001524
2423,5.000064582199097e-003,-0.07002623
2424,5.000100000000000e-003,-0.07004049
2425,5.000103617069014e-003,-0.07004194
2426,5.000110851207040e-003,-0.07004486
2427,5.000125319483094e-003,-0.07005069
2428,5.000154256035201e-003,-0.07006237
2429,5.000212129139415e-003,-0.07008575
2430,5.000327875347843e-003,-0.07013266
2431,5.000559367764701e-003,-0.07022699
2432,5.001022352598414e-003,-0.07041769
2433,5.001948322265841e-003,-0.07079514
2434,5.002948322265841e-003,-0.07119309
2435,5.003948322265841e-003,-0.07158735
2436,5.004948322265841e-003,-0.07197908
2437,5.005948322265841e-003,-0.07236828
2438,5.006948322265841e-003,-0.07275499
2439,5.007948322265842e-003,-0.07313919
2440,5.008948322265842e-003,-0.07352096
2441,5.009948322265842e-003,-0.07390024
2442,5.010948322265842e-003,-0.07427709
2443,5.011948322265842e-003,-0.07465154
2444,5.012948322265842e-003,-0.07502353
2445,5.013948322265842e-003,-0.07539320000000001
2446,5.014948322265843e-003,-0.07576042
2447,5.015948322265843e-003,-0.07612535
2448,5.017948322265843e-003,-0.07684812
2449,5.019948322265843e-003,-0.07756162
2450,5.021948322265843e-003,-0.07826599
2451,5.023948322265844e-003,-0.07896131
2452,5.026948322265844e-003,-0.0799877
2453,5.029948322265845e-003,-0.08099449
2454,5.032948322265845e-003,-0.08198196
2455,5.035948322265845e-003,-0.08295041
2456,5.039948322265846e-003,-0.08421308
2457,5.043948322265846e-003,-0.08544356
2458,5.048948322265847e-003,-0.08693779
2459,5.053948322265848e-003,-0.08838475
2460,5.059948322265848e-003,-0.09006071
2461,5.066948322265849e-003,-0.09193587
2462,5.074948322265850e-003,-0.09397829
2463,5.077948322265851e-003,-0.0947175
2464,5.087948322265852e-003,-0.09708107
2465,5.098948322265854e-003,-0.09951162
2466,5.099948322265854e-003,-0.09971631
2467,5.100000000000000e-003,-0.09972692
2468,5.100100000000001e-003,-0.09970784
2469,5.100300000000000e-003,-0.0996691
2470,5.100700000000001e-003,-0.09959102
2471,5.101500000000000e-003,-0.09943533
2472,5.102500000000000e-003,-0.09924507
